LOCATION,ITEM NO,ITEM DESCRIPTION,PACK,SIZE,ITEM WGT,WEEKLY MVMT,ITEM COST,CASES DAMAGED,COLOR_CASES DAMAGED,LINK_
A11-96-L-2460-1866-0,\s128936,ROMANO CHEESE WEDGE,16,8 OZ,8,19.6,40,0,green,http://yourURL?LOCATION=
A11-96-L-2460-1866-60,\s859536,FILLING BAVARIAN CREAM,1,40#,41,10.4,25.56,0,green,http://yourURL?LOCATION=
A1-199-L-180-3198-0,\s262200,SALAD MERMAID ROTINI W/CRAB,2,5#,10,92.8,2.725,0,green,http://yourURL?LOCATION=
A1-199-L-180-3198-84,\s644927,ROASTER GRANDE,100,10X8X4,17.52,72.4,31.86,0,green,http://yourURL?LOCATION=
A11-99-R-2280-1902-48,\s875804,TURKEY BRST SKIN ON PETITE RTE,4,4.5#,18,20.8,3.3,0,green,http://yourURL?LOCATION=
A1-199-R-0-3198-0,\s879122,MARGARINE/BUTTER BLEND NH536,1,50#,50,0.8,78.59,0,green,http://yourURL?LOCATION=
A1-199-R-0-3198-36,\s273500,GRAVY SAUSAGE RTU 105 OZ,6,#10 CAN,39.3,18,48.18,1,red,http://yourURL?LOCATION=
A1-199-R-0-3198-72,\s360353,MILK ALMOND ORIG UNSWEETENED,6,64 OZ,24,93.4,15.9,0,green,http://yourURL?LOCATION=
A11-9-L-2460-618-0,\s916824,T-SACK-HOMETOWN IGA SMILES,1000,12X7X21,11.7,19.2,10.53,0,green,http://yourURL?LOCATION=
A11-9-L-2460-618-60,\s752554,BROTH CHICKEN,6,31 OZ,17.1,11.1,21.54,0,green,http://yourURL?LOCATION=
A1-1-L-180-390-0,\s945392,SHORTENING ALL PURPOSE,1,50#,50,1,36.74,0,green,http://yourURL?LOCATION=
A1-1-L-180-390-60,\s601662,CARROTS SLICED MEDIUM,6,#10 CAN,39,16.8,19.25,0,green,http://yourURL?LOCATION=
A1-1-R-0-390-0,\s837122,SHORTENING ALL PURPOSE PHO,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
A1-1-R-0-390-60,\s361452,MEATBALLS PINEAPPLE TERIYAKI,8,12 OZ,6,16.8,28.8,0,green,http://yourURL?LOCATION=
A1-202-L-180-3246-0,\s544186,FUB CHERRY,6,64 OZ,34,8,28.41,0,green,http://yourURL?LOCATION=
A1-202-L-180-3246-48,\s237303,SALAMI HARD LOW FAT,2,6#,12,51.8,3.39,0,green,http://yourURL?LOCATION=
A1-202-L-180-3246-84,\s945399,SHORTENING SUPER FRY DONUT,1,50#,50,0,36.44,0,green,http://yourURL?LOCATION=
A1-202-R-0-3246-0,\s659800,OLIVES CALIF RIPE PITTED LRG,6,#10 CAN,39.75,8.6,56.72,0,green,http://yourURL?LOCATION=
A1-202-R-0-3246-36,\s720800,PIZZA SAUCE W/BASIL 107 OZ,6,#10 CAN,40.13,94,28.85,0,green,http://yourURL?LOCATION=
A1-202-R-0-3246-72,\s744803,OIL FRYING SOY SELECT CRM ZTF,1,35#,35,92.8,33.42,0,green,http://yourURL?LOCATION=
A1-206-L-180-3306-0,\s603715,VINEGAR CIDER PURE 5%,4,GALLON,35.7,97.2,9.56,0,green,http://yourURL?LOCATION=
A1-206-L-180-3306-48,\s836737,RED CHERRIES  WHOLE MARASC,1,5 GAL,50,4.2,66.86,0,green,http://yourURL?LOCATION=
A1-206-L-180-3306-84,\s685421,BUTTER EASTER BUNNY SCULPTURE,12,4 OZ,3,0,29.64,0,green,http://yourURL?LOCATION=
A1-206-R-0-3306-0,\s251490,HAM TAVERN HONEY CURED,2,9#,18,97.6,3.47,0,green,http://yourURL?LOCATION=
A1-206-R-0-3306-36,\s488936,SHORTENING LIQUID FRY,1,35#,35,115,26.98,0,green,http://yourURL?LOCATION=
A1-206-R-0-3306-72,\s357594,COLE SLAW CHOPPED DIXIE,2,4.5#,9,36.4,1.0455,0,green,http://yourURL?LOCATION=
A1-209-L-180-3366-84,\s806600,FILLING LEMON,1,40#,42.1,6.8,34.78,0,green,http://yourURL?LOCATION=
A1-209-R-0-3366-36,\s904730,MASHED POTATOES PREMIUM,4,5#,20,98.4,1.01,0,green,http://yourURL?LOCATION=
A1-209-R-0-3366-72,\s833223,SHORTENING CLEAR LIQUID,1,35#,37,100.2,17.33,0,green,http://yourURL?LOCATION=
A1-213-L-180-3426-0,\s904796,MILK 1% GALLON CORRUGATED,4,1 GAL,36,100.4,9.3528,0,green,http://yourURL?LOCATION=
A1-213-R-0-3426-36,\s370633,SMOKIES BEEF MILD PROSPECT CH,3,2.5#,7.5,46.8,41.97,0,green,http://yourURL?LOCATION=
A1-213-R-0-3426-72,\s368503,T-SACK-FIVE STAR,1000,12X7X20,15,116,24.41,0,green,http://yourURL?LOCATION=
A1-216-L-180-3474-0,\s360537,CREAM WHIPPED AEROSAL LIGHT,12,7 OZ,5.25,50,13.37,0,green,http://yourURL?LOCATION=
A1-216-L-180-3474-48,\s877406,CHICKEN TENDERS BONELESS,2,10#,20,222.6,2.18,0,green,http://yourURL?LOCATION=
A1-216-L-180-3474-84,\s837122,SHORTENING ALL PURPOSE PHO,1,50#,50,8,36.93,0,green,http://yourURL?LOCATION=
A1-216-R-0-3474-0,\s486103,LENTILS BROWN,1,55.1#,55.1,6.2,24.75,0,green,http://yourURL?LOCATION=
A1-216-R-0-3474-72,\s102600,PICKLES SPEARS,1,5 GAL,45.6,152.2,17.96,1,red,http://yourURL?LOCATION=
A1-219-L-180-3534-0,\s840832,CUP CLEAR 24OZ,600,EACH,28.35,1.8,49.95,0,green,http://yourURL?LOCATION=
A1-219-L-180-3534-84,\s371789,SOUP CHICKEN NOODLE LOW FAT,6,16 OZ,6,33.2,18.94,0,green,http://yourURL?LOCATION=
A1-219-R-0-3534-0,\s766203,CHICKEN FRESH 8 PC CUT UP,16,3-3.3#,52,373.4,1.52,11,red,http://yourURL?LOCATION=
A1-219-R-0-3534-48,\s361452,MEATBALLS PINEAPPLE TERIYAKI,8,12 OZ,6,16.8,28.8,0,green,http://yourURL?LOCATION=
A1-219-R-0-3534-72,\s659343,CHEESE SAUCE CHEDDAR MILD,6,#10 CAN,39.75,38,29.26,0,green,http://yourURL?LOCATION=
A1-21-L-180-846-0,\s822600,ICING SUPER SET WHITE,1,40#,42,35.8,57.47,0,green,http://yourURL?LOCATION=
A1-21-L-180-846-60,\s589100,SHORTENING REGULAR PHO,1,50#,50,36.8,34.69,0,green,http://yourURL?LOCATION=
A1-21-R-0-846-0,\s659900,OLIVES SPAN BLACK RIPE SLICED,6,#10 CAN,38.4,68,34.22,0,green,http://yourURL?LOCATION=
A1-21-R-0-846-60,\s721800,TOMATO SAUCE SAPORITO FANCY,6,#10 CAN,45.3,10.8,22.32,0,green,http://yourURL?LOCATION=
A1-24-L-180-906-0,\s833111,CHOCOLATE KRISPIE,1,35#,35,8.4,100.45,0,green,http://yourURL?LOCATION=
A1-24-L-180-906-60,\s283700,HAM CHOPPED,5,10#,50,36.2,1.39,0,green,http://yourURL?LOCATION=
A1-24-R-0-906-0,\s837300,CUPS DELI SQUARE CLEAR #SD32,500,32 oz,23,22.6,47.94,0,green,http://yourURL?LOCATION=
A1-24-R-0-906-60,\s923200,SACKS HAND DN-WALTS MARKETS,300,1/7-70#,38,17,30.29,2,red,http://yourURL?LOCATION=
A1-28-L-180-954-0,\s659621,PINE NUTS 750 CT,2,27.56#,55.12,9,477.88,0,green,http://yourURL?LOCATION=
A1-28-L-180-954-60,\s618600,BOX HOT FOOD-10#BARN EXPRESSN,100,8X6X8,27,36.4,43.8,0,green,http://yourURL?LOCATION=
A1-28-R-0-954-0,\s833230,SHORTENING CREAMY LIQUID,1,35#,37,37.2,17.72,1,red,http://yourURL?LOCATION=
A1-28-R-0-954-60,\s763937,COLBY JACK DELI HORN - 6 LB*,2,6 LB,12,33.4,1.9131,0,green,http://yourURL?LOCATION=
A1-33-L-180-1014-0,\s574800,BAGS BREAD CLEAR POLY .90 MIL,1000,5X4X16,9.6,24.4,14.37,0,green,http://yourURL?LOCATION=
A1-33-L-180-1014-60,\s864800,SACKS KRAFT-HARDING FRIENDLY,400,1/6-70#,58,34.2,33.1,0,green,http://yourURL?LOCATION=
A1-33-R-0-1014-0,\s930077,MILK WHITE 1% ASEPTIC SS,12,6.75 OZ,5,36.6,10.92,0,green,http://yourURL?LOCATION=
A1-33-R-0-1014-60,\s307541,OIL VEGETABLE 100% CLEAR SOY,4,GALLON,32,39.4,17.44,0,green,http://yourURL?LOCATION=
A1-37-L-180-1074-0,\s833118,SHORTENING CORN OIL NH,1,35#,35,2.6,27.69,0,green,http://yourURL?LOCATION=
A1-37-L-180-1074-60,\s262500,CHEESE SPREAD HORSERADISH,12,10 OZ,10,40.4,29.04,0,green,http://yourURL?LOCATION=
A1-37-R-0-1074-0,\s430558,TOMATO PUREE FULL RED XHVY,6,#10 CAN,36.66,6.2,23.37,0,green,http://yourURL?LOCATION=
A1-37-R-0-1074-60,\s572661,PRETZEL YOGURT LEMON,1,15#,15,1,26.75,0,green,http://yourURL?LOCATION=
A1-3-L-180-450-0,\s836926,TRAY CAKE FULL CORRUGATED,50,18X26,40,3.6,114.01,0,green,http://yourURL?LOCATION=
A1-3-L-180-450-60,\s963357,SACKS HAND DN-NEIMANS MKTS,300,1/7-70#,38,15.2,31.31,0,green,http://yourURL?LOCATION=
A1-3-R-0-450-0,\s655841,COOKIE MINT GF,12,7 OZ,5.25,12,28.8,0,green,http://yourURL?LOCATION=
A1-3-R-0-450-60,\s858826,POTATOES WHOLE WHITE 90/110 CT,6,102 OZ,47,8,27.119,0,green,http://yourURL?LOCATION=
A1-41-L-180-1134-0,\s673500,BOX PIZZA-TOARMINA/PALERMO,50,16X16X2,32,36.6,24.65,0,green,http://yourURL?LOCATION=
A1-41-L-180-1134-60,\s652100,OIL SUNFLOWER/CANOLA FRYING,1,35#,35,19.8,37.6,0,green,http://yourURL?LOCATION=
A1-41-R-0-1134-0,\s838368,TOPPING CARAMEL RTU 131 OZ,6,#10 CAN,53.15,5,64.98,0,green,http://yourURL?LOCATION=
A1-41-R-0-1134-60,\s502341,SOUP CREAM OF CHICKEN,12,50 OZ,37.5,13.6,43.92,2,red,http://yourURL?LOCATION=
A1-45-L-180-1182-0,\s858926,POTATOES SLICED WHITE,6,102 OZ,46.5,11.6,21.3555,0,green,http://yourURL?LOCATION=
A1-45-L-180-1182-60,\s919674,ICING VAN LIGHT N' FLUFFY ZTF,1,35#,35,37,44.66,0,green,http://yourURL?LOCATION=
A1-45-R-0-1182-0,\s705742,PEANUTS I/S FANCY RAW,1,25#,25,37,19,0,green,http://yourURL?LOCATION=
A1-45-R-0-1182-60,\s909853,WALNUTS IN SHELL-JUMBO,1,50#,50,8,79.7969,0,green,http://yourURL?LOCATION=
A1-4-L-180-498-0,\s367743,OIL CANOLA CLEAR FRY NH,1,35#,35,147.4,20.07,0,green,http://yourURL?LOCATION=
A1-4-L-180-498-60,\s432887,"WRAP ANCIENT GRAIN 8""",6,8CT,5.4,92.2,11.92,0,green,http://yourURL?LOCATION=
A1-4-R-0-498-0,\s738400,WATER CHESTNUTS SLICED,6,#10 CAN,39.6,8.8,35.12,0,green,http://yourURL?LOCATION=
A1-4-R-0-498-60,\s472735,POTATO CHIP SOUR CRM & CHEDDAR,20,4.25 OZ,7,119.6,13,0,green,http://yourURL?LOCATION=
A1-50-L-180-1242-60,\s243800,3 CHEESE ITALIAN SHREDDED CUP,12,5 OZ,3.75,37.4,21,0,green,http://yourURL?LOCATION=
A1-50-R-0-1242-0,\s642921,CHEDDAR 75# MAMMOTH*,1,75#,75,1,2.67,0,green,http://yourURL?LOCATION=
A1-50-R-0-1242-60,\s358440,COTTAGE CHEESE LOWFAT ORGANIC,6,16 OZ,6,37.2,19.56,0,green,http://yourURL?LOCATION=
A1-54-L-180-1302-0,\s284632,DIP FRUIT,2,4.5#,9,38.4,1.995,0,green,http://yourURL?LOCATION=
A1-54-L-180-1302-60,\s524534,MILK ORGANIC FAT FREE SKIM,12,32 OZ,24,8.4,25.32,0,green,http://yourURL?LOCATION=
A1-54-R-0-1302-0,\s454038,GEMS COCOA,1,30#,31.2,37.4,50.25,0,green,http://yourURL?LOCATION=
A1-54-R-0-1302-60,\s703300,LARD (DEODORIZED),1,50#,51.6,8,31.38,2,red,http://yourURL?LOCATION=
A1-58-L-180-1362-0,\s885000,SHORTENING DEEP FRYING PRINTS,5,5#,25.8,20.2,25.9,0,green,http://yourURL?LOCATION=
A1-58-L-180-1362-60,\s838500,CUPS DELI/SOUP CLEAR W/LID,250,16 OZ,23,15.4,35.18,0,green,http://yourURL?LOCATION=
A1-58-R-0-1362-60,\s428803,CANDY CORN BUNNY PATCH,24,6 OZ.,11,0,16.58,0,green,http://yourURL?LOCATION=
A1-62-L-180-1410-0,\s370055,MILKSHAKE COOKIES N' CREAM,12,12 OZ,9,73.8,11.88,0,green,http://yourURL?LOCATION=
A1-62-R-0-1410-60,\s564892,FCB WATERMELON JOLLY RANCHER,1,3 GAL,34,229.2,42.1,0,green,http://yourURL?LOCATION=
A1-67-L-180-1470-0,\s574500,GRAVY RTE TURKEY,12,50 OZ,37.5,14,34.8,0,green,http://yourURL?LOCATION=
A1-67-L-180-1470-60,\s648072,ICING CHOC BUTTRCREME ZTF,1,30#,30,38.6,46.95,0,green,http://yourURL?LOCATION=
A1-67-R-0-1470-0,\s359562,YOGURT ORIG KEY LIME PIE,12,6 OZ,4.5,38.6,6.41,0,green,http://yourURL?LOCATION=
A1-67-R-0-1470-60,\s281203,SACKS KRAFT-FRANKS PIGGLY WIG,300,1/7-70#,56,7.4,31.31,0,green,http://yourURL?LOCATION=
A1-6-L-180-558-0,\s539494,COOKIE CHRISTMAS TREE,24,1.8 OZ,2.7,0,22.8,0,green,http://yourURL?LOCATION=
A1-6-R-0-558-0,\s624700,BOX BAKERY WHITE LOCK CORNER,250,10X10X2,55,9.2,39.97,0,green,http://yourURL?LOCATION=
A1-6-R-0-558-60,\s619800,CHEESE SAUCE NACHO,6,106 OZ,38,21,50.43,0,green,http://yourURL?LOCATION=
A1-71-L-180-1530-0,\s96700,TOMATO PEELED GROUND 105 OZ,6,#10 CAN,39.38,8.6,24.43,0,green,http://yourURL?LOCATION=
A1-71-L-180-1530-60,\s762565,TURKEY BREAST JP HONEY SMOKED,2,7.5#,17,39.2,3.51,0,green,http://yourURL?LOCATION=
A1-71-R-0-1530-0,\s700891,QUINOA WHITE,1,55 #,55,12.6,68.75,1,red,http://yourURL?LOCATION=
A1-71-R-0-1530-60,\s111500,CONT CLEAR HINGED SLP35,500,8X4X3.2,27,15.6,69.01,0,green,http://yourURL?LOCATION=
A1-75-L-180-1590-0,\s801800,CONT CLEAR HINGD LBH511(SL10),900,5X5X2.1,21.4,8.8,50.69,0,green,http://yourURL?LOCATION=
A1-75-L-180-1590-60,\s836723,CHERRY HALVES BORDEAUX,1,5 GAL,50,1.6,69,0,green,http://yourURL?LOCATION=
A1-75-R-0-1590-0,\s931329,CHEESE MEXICAN SHREDDED,6,2#,12,39.4,26.82,0,green,http://yourURL?LOCATION=
A1-75-R-0-1590-60,\s910882,SHORTENING SOY ALL PURPOSE NH,1,50#,50,101.4,33.08,0,green,http://yourURL?LOCATION=
A1-79-L-180-1638-60,\s959339,T-SACK-VALUMARKET,2000,12X7X20,25.6,39.4,39.04,0,green,http://yourURL?LOCATION=
A1-79-R-0-1638-0,\s721200,TOMATO PUREE EXTRA HVY 107 OZ,6,#10 CAN,40.13,5.8,28.85,0,green,http://yourURL?LOCATION=
A1-79-R-0-1638-60,\s370072,MILKSHAKE CREAMY CHOCOLATE,12,12 OZ,9,76.4,11.88,0,green,http://yourURL?LOCATION=
A1-84-L-180-1698-0,\s228234,TUB BLACK TAFFY,12,11 OZ,7.75,0,20.51,0,green,http://yourURL?LOCATION=
A1-84-R-0-1698-0,\s156600,POTATO RUSSET 90ct,1,50#,51,30.8,14.5,0,green,http://yourURL?LOCATION=
A1-84-R-0-1698-60,\s833202,CHOCOLATE CHIPS SOFT PREMIUM,1,35#,35,8,50.75,0,green,http://yourURL?LOCATION=
A1-88-L-180-1758-0,\s369630,MILK FLAX UNSWEETENED,6,64 OZ,24,40.6,14.95,0,green,http://yourURL?LOCATION=
A1-88-L-180-1758-60,\s868936,ASIAGO CUP SHREDDED,12,5 OZ,3.75,0,20.2,0,green,http://yourURL?LOCATION=
A1-88-R-0-1758-0,\s599700,CROUTON RANCH,12,5 OZ,5,40,14.04,0,green,http://yourURL?LOCATION=
A1-88-R-0-1758-60,\s367490,SACKS HAND DN-BROOKHAVEN MKT,300,1/7-70#,38,16.4,31.31,1,red,http://yourURL?LOCATION=
A1-92-L-180-1818-0,\s564400,PUDDING BANANA 112 OZ,6,#10 CAN,42,30,27.8,1,red,http://yourURL?LOCATION=
A1-92-R-0-1818-0,\s307441,OIL VEG SOY ZTF ALL PURPOSE,1,35#,35,31,17.2,12,red,http://yourURL?LOCATION=
A1-92-R-0-1818-60,\s360969,BUTTER SPREAD HONEY,12,6.5 OZ,6.5,19.6,19.49,0,green,http://yourURL?LOCATION=
A1-96-L-180-1866-0,\s305317,"WRAP EVERYTHING NY STYLE 10""",6,8.5 OZ,3.65,41.4,9.67,0,green,http://yourURL?LOCATION=
A1-96-L-180-1866-60,\s922500,SACKS KRAFT-OLESONS MARKETS,400,1/6-75#,58,23.2,33.39,0,green,http://yourURL?LOCATION=
A1-96-R-0-1866-0,\s678468,COOKIE MINIONS EASTER,24,1.8 OZ,2.7,0,22.8,0,green,http://yourURL?LOCATION=
A1-9-L-180-618-0,\s838361,FUDGE HOT MEADOWS,6,#10 CAN,43,14.4,45.7,0,green,http://yourURL?LOCATION=
A1-9-L-180-618-60,\s364768,TUB LG MIX CAJUN PERSUASION,12,10 OZ,9.2,35.2,25.17,0,green,http://yourURL?LOCATION=
A1-9-R-0-618-0,\s393634,CHIA SEEDS DARK,1,10#,10,34.4,14,0,green,http://yourURL?LOCATION=
A1-9-R-0-618-60,\s962500,SACKS HAND UP-VALUMARKET,300,1/6-70#,47,14.2,30,0,green,http://yourURL?LOCATION=
A1Y-18-L-1074-0-0,\s895526,DELI BAG SLIDEZIP-DELI FRESH,500,11.5X8,12.5,54.4,16,0,green,http://yourURL?LOCATION=
A1Y-18-L-1074-0-60,\s858583,JUICE ORANGE NFC,6,59 OZ,25.75,198.4,12.33,2,red,http://yourURL?LOCATION=
A1Y-18-L-1074-0-84,\s369703,PLATES BLACK PLASTIC 3-COMP,400,"10.25""",20.6,5.2,54.09,0,green,http://yourURL?LOCATION=
A1Y-19-L-1122-0-0,\s559803,POTATO SALAD ORIGINAL SIDE,3,8#,24,41,1.09,0,green,http://yourURL?LOCATION=
A1Y-19-L-1122-0-60,\s279183,T-SACK-ORCHARD MKT SPRNG LAKE,1000,12X7X23,14.5,27.8,22.11,0,green,http://yourURL?LOCATION=
A1Y-19-L-1122-0-84,\s187315,TURKEY BREAST GOLDEN BROWN,2,9#,18,242.6,3.46,0,green,http://yourURL?LOCATION=
A1Y-20-L-1182-0-0,\s931609,PARFAIT SF MULTIPACK ASSORTED,6,8/3.5OZ,10.5,60.8,10.9573,0,green,http://yourURL?LOCATION=
A1Y-20-L-1182-0-60,\s579886,TUNA SKIPJACK CHUNK LIGHT,6,66.5 OZ,24.9,68.6,39,0,green,http://yourURL?LOCATION=
A1Y-20-L-1182-0-84,\s576333,CUPS PORTION CLEAR 2 OZ,25,100 CT,12,64.4,28.48,0,green,http://yourURL?LOCATION=
A1Y-2-L-162-0-0,\s416958,ORANGE JUICE W/MANGO,6,59 OZ,25.65,33.2,19.61,0,green,http://yourURL?LOCATION=
A1Y-21-L-1242-0-0,\s821336,STARLIGHT MINTS PEPERMINT,8,5#,42,6.8,27.46,1,red,http://yourURL?LOCATION=
A1Y-21-L-1242-0-60,\s926226,COOKIE COCOA HIT SHIPPER,72,4.7 OZ,21.15,6,62.2,0,green,http://yourURL?LOCATION=
A1Y-21-L-1242-0-84,\s697508,DRESSING GOLDEN ITALIAN,4,GALLON,31.093,31.4,32.98,0,green,http://yourURL?LOCATION=
A1Y-2-L-162-0-24,\s101793,T-SACK-HG HILL,1000,12X7X21,14.72,43.6,20.77,0,green,http://yourURL?LOCATION=
A1Y-22-L-1302-0-0,\s553077,BOLOGNA BEEF 1/4 STICK,4,4.97#,19.88,6.8,2.96,0,green,http://yourURL?LOCATION=
A1Y-22-L-1302-0-60,\s676548,PAPAYA DICED DRIED,4,11#,44,4.3,54.89,0,green,http://yourURL?LOCATION=
A1Y-22-L-1302-0-84,\s868900,TURKEY BREAST NO SALT,1,7#,7,30.4,5.3,0,green,http://yourURL?LOCATION=
A1Y-23-L-1350-0-0,\s827861,HAM COOKED 10%,2,13#,26,106.4,1.53,0,green,http://yourURL?LOCATION=
A1Y-23-L-1350-0-60,\s419372,CANDY CORN CHERRY,1,30#,30,0,30.8,0,green,http://yourURL?LOCATION=
A1Y-23-L-1350-0-84,\s685098,MOZZARELLA /PROV 50/50 DICED*,6,5#,30,27.4,2.0005,0,green,http://yourURL?LOCATION=
A1Y-24-L-1410-0-0,\s423061,PIZZA CRUST ULTRA THIN/CRISPY,10,"12""-3CT",8.91,65.4,26.05,0,green,http://yourURL?LOCATION=
A1Y-24-L-1410-0-84,\s241932,TURKEY BREAST CAJUN STYLE,2,5#,10,32.8,5.1,0,green,http://yourURL?LOCATION=
A1Y-25-L-1470-0-0,\s146700,SALSA THICK & CHUNKY FRESH,6,16 OZ,13.25,231.6,11.4,0,green,http://yourURL?LOCATION=
A1Y-25-L-1470-0-84,\s553536,PECAN PIECES MEDIUM FANCY,1,30#,30,14.8,201.0032,0,green,http://yourURL?LOCATION=
A1Y-26-L-1530-0-0,\s240302,MICRO TRAY BLACK OBLONG,500,16 OZ,22,2.4,75.37,0,green,http://yourURL?LOCATION=
A1Y-26-L-1530-0-60,\s948416,SALAD CHEF,4,7.35 OZ,1.83,236.7,8.76,0,green,http://yourURL?LOCATION=
A1Y-26-L-1530-0-84,\s754730,RICE BOTAN CALROSE,8,5#,40,4,30.6,0,green,http://yourURL?LOCATION=
A1Y-27-L-1578-0-0,\s523853,DRINK MANGO TETRA PAK,12,33.8 OZ,29,47.2,7.13,1,red,http://yourURL?LOCATION=
A1Y-27-L-1578-0-60,\s447100,AMERICAN SLICED STACK 160 CT*,4,5#,20,17.2,1.7525,1,red,http://yourURL?LOCATION=
A1Y-27-L-1578-0-84,\s281303,FAVA BEANS SPLIT DRY,1,55#,55,3.6,16,0,green,http://yourURL?LOCATION=
A1Y-28-L-1638-0-0,\s357286,T-SACK-PAULS MKT,1000,12X7X20,14.2,20,18.56,0,green,http://yourURL?LOCATION=
A1Y-28-L-1638-0-60,\s425220,LIMEADE,8,59 OZ,29.5,27.6,12.88,0,green,http://yourURL?LOCATION=
A1Y-29-L-1698-0-0,\s385542,ALMONDS SMOKEHOUSE,1,25#,25,7,86.5,0,green,http://yourURL?LOCATION=
A1Y-29-L-1698-0-60,\s736400,HAM MAPLE GLAZED,1,8.5#,8.5,26.6,4.6,0,green,http://yourURL?LOCATION=
A1Y-29-L-1698-0-84,\s882708,TEA ICED VITAMIN LEMON,12,20 OZ,17.55,58,11.16,1,red,http://yourURL?LOCATION=
A1Y-3-L-210-0-0,\s101745,BEANS REFRIED ORIGINAL 112 OZ,6,#10 CAN,42,28,34.13,0,green,http://yourURL?LOCATION=
A1Y-3-L-210-0-60,\s510216,HAM SMOKED CANADIAN MAPLE,2,6.5#,12,65.4,2.35,0,green,http://yourURL?LOCATION=
A1Y-3-L-210-0-84,\s838000,DELI PAPER FOLDED LITE 15X10,12,500 CT,41.2,15,62.4,1,red,http://yourURL?LOCATION=
A1Y-30-L-1758-0-0,\s527577,WAFER CARAMEL SEA SALT BURST,1,25#,25,0,40.25,0,green,http://yourURL?LOCATION=
A1Y-30-L-1758-0-60,\s605748,TEA ARNOLD PALMER 1/2 & 1/2,4,1 GAL,35,21.4,9.99,1,red,http://yourURL?LOCATION=
A1Y-30-L-1758-0-84,\s359340,KEFIR DRINK LF CHERRY,6,32 OZ,12,66.4,13.4,0,green,http://yourURL?LOCATION=
A1Y-31-L-1806-0-60,\s357480,MACARONI SALAD AMISH PACKAGED,6,32 OZ,12,66.8,15.1,0,green,http://yourURL?LOCATION=
A1Y-31-L-1806-0-84,\s347921,EASTER CANDY CORN,1,30,32,0,29.3,0,green,http://yourURL?LOCATION=
A1Y-32-L-1866-0-0,\s625051,CONT CARRYOUT SUGARCANE MW,500,6X6X3,24.9,3.4,42.5,0,green,http://yourURL?LOCATION=
A1Y-32-L-1866-0-60,\s923517,T-SACK-VILLAGE MKTS WEST MICH,2000,12X7X21,31,20.4,41.3,0,green,http://yourURL?LOCATION=
A1Y-32-L-1866-0-84,\s513253,FILLING CHOCOLATE BAVARIAN,1,20#,21,9.6,13.62,0,green,http://yourURL?LOCATION=
A1Y-33-L-1926-0-0,\s289300,MORTADELLA CLASSIC PISTACHIO,2,14#,28,23.2,2.83,0,green,http://yourURL?LOCATION=
A1Y-33-L-1926-0-60,\s169890,BAGS ROLL PRODUCE-WALTS,3000,12X20,28.32,10,40.47,0,green,http://yourURL?LOCATION=
A1Y-33-L-1926-0-84,\s919660,ICING CREAM CHS BTTRCRM ZTF,1,18#,18,60,38.03,0,green,http://yourURL?LOCATION=
A1Y-34-L-1986-0-0,\s924203,HAM SMOKED,8,2.2-2.7,20,5.7,3.29,0,green,http://yourURL?LOCATION=
A1Y-34-L-1986-0-60,\s357576,MACARONI SALAD,2,5#,10,533.6,0.916,0,green,http://yourURL?LOCATION=
A1Y-35-L-2034-0-0,\s834637,HAM COOKED 35%,4,13#,52,21.8,1.33,0,green,http://yourURL?LOCATION=
A1Y-35-L-2034-0-60,\s549524,PEANUTS I/S R/S,12,20 OZ,15,30.2,16.25,0,green,http://yourURL?LOCATION=
A1Y-35-L-2034-0-84,\s567068,MAYONNAISE EXTRA HEAVY,4,128 OZ,28.8,37.8,24,0,green,http://yourURL?LOCATION=
A1Y-36-L-2094-0-0,\s821285,FUN MIX-PINATA WRPD ASTD CNDI,8,4#,32,5.6,30.8,0,green,http://yourURL?LOCATION=
A1Y-36-L-2094-0-84,\s786403,SALAMI GENOA DILUSSO,4,1/2 PC,18.5,6,4.72,0,green,http://yourURL?LOCATION=
A1Y-37-L-2154-0-0,\s696505,WATER IN PAPER CARTON,12,1 LTR,28.4,34.8,9.99,0,green,http://yourURL?LOCATION=
A1Y-37-L-2154-0-60,\s625600,CONT CLEAR HINGED SLP25,500,6X6X3.1,21.2,8.8,54.26,0,green,http://yourURL?LOCATION=
A1Y-37-L-2154-0-84,\s943300,TRASH BAG BEIGE 1.7MIL 33 GAL,250,33X40,39.19,8.8,40.75,0,green,http://yourURL?LOCATION=
A1Y-38-L-2214-0-0,\s775803,MIXED NUTS DELUXE RAW,1,25#,25,6.2,134.59,0,green,http://yourURL?LOCATION=
A1Y-38-L-2214-0-60,\s523953,DRINK GUAVA TETRA PAK,12,33.8 OZ,29,52.8,7.13,0,green,http://yourURL?LOCATION=
A1Y-38-L-2214-0-84,\s564535,PEANUTS BUTTER TOASTED,1,25#,25,17,33,0,green,http://yourURL?LOCATION=
A1Y-39-L-2262-0-0,\s605848,TEA SWEET,4,1 GAL,35,14.8,9.99,0,green,http://yourURL?LOCATION=
A1Y-39-L-2262-0-60,\s700848,NON PAREIL DARK CHOC SNO CAPS,1,25#,25,15,57.769,0,green,http://yourURL?LOCATION=
A1Y-39-L-2262-0-84,\s360355,MILK ALMOND CHOCOLATE,6,64 OZ,25.15,23.8,15.9,0,green,http://yourURL?LOCATION=
A1Y-40-L-2322-0-0,\s412506,SWEDISH FISH RED MINI,6,5#,31,45,61.93,0,green,http://yourURL?LOCATION=
