LOCATION,\sITEM NO,ITEM DESCRIPTION,PACK,SIZE,ITEM WGT,WEEKLY MVMT,ITEM COST,CASES DAMAGED,COLOR_CASES DAMAGED,LINK_
A3-184-R-390-2856-48,782508,CRISPBREAD RYE LIGHT,12,8.5 OZ,8.05,14.3,19.8,0,green,http://yourURL?LOCATION=
A3-184-R-390-2856-84,192703,PASTA SALAD GREEK,2,5#,10,30,2.09,0,green,http://yourURL?LOCATION=
A3-188-R-390-2904-48,307941,OIL CANOLA CLEAR FRY ZTF,1,35#,35,172.8,18.09,0,green,http://yourURL?LOCATION=
A3-188-R-390-2904-84,156600,POTATO RUSSET 90ct,1,50#,51,30.8,14.5,0,green,http://yourURL?LOCATION=
A3-18-L-570-672-0,119403,POTATO SALAD MUSTARD PACKAGED,6,3#,18,40.4,24.48,0,green,http://yourURL?LOCATION=
A3-18-L-570-672-60,833111,CHOCOLATE KRISPIE,1,35#,35,8.4,100.45,0,green,http://yourURL?LOCATION=
A3-18-R-390-672-0,297378,ORANGEADE ARIZONA,24,23.5 OZ,34.78,8.2,14.99,0,green,http://yourURL?LOCATION=
A3-191-L-570-2964-0,114602,CHEESE PROVOLONE SLICED,12,8 OZ,6,17.8,33.48,0,green,http://yourURL?LOCATION=
A3-191-L-570-2964-84,769996,DRESSING BACON NO CAL,6,12 OZ,8.35,0.8,11.6,0,green,http://yourURL?LOCATION=
A3-191-R-390-2964-0,638943,ONION RED SLICED,1,5#,5,16.4,12.3,0,green,http://yourURL?LOCATION=
A3-191-R-390-2964-48,914361,BUTTER ROLL UNSALTED AMISH,24,8 OZ,13,2.6,61.8001,0,green,http://yourURL?LOCATION=
A3-191-R-390-2964-84,914354,BUTTER ROLL GARLIC HERB,12,8 OZ,7,12.6,36.9,0,green,http://yourURL?LOCATION=
A3-195-L-570-3024-0,881586,SOUR CREAM W/CHIVES SQUEEZE,12,12 OZ,11.25,9.8,14.84,0,green,http://yourURL?LOCATION=
A3-195-L-570-3024-48,488477,ARTICHOKE MARINATED,2,63 OZ,7.875,6.4,26.34,0,green,http://yourURL?LOCATION=
A3-195-L-570-3024-84,601628,BEETS SLICED MEDIUM,6,#10 CAN,39,33.8,21.75,0,green,http://yourURL?LOCATION=
A3-195-R-390-3024-0,833202,CHOCOLATE CHIPS SOFT PREMIUM,1,35#,35,8,50.75,0,green,http://yourURL?LOCATION=
A3-195-R-390-3024-48,833909,SWEET & SOUR SAUCE,4,128 OZ,36,3.8,44.49,0,green,http://yourURL?LOCATION=
A3-195-R-390-3024-84,932211,DESSERT THINS BROWNIE,12,5 OZ,3.75,8.2,21.49,0,green,http://yourURL?LOCATION=
A3-199-L-570-3084-0,932225,DESSERT THINS LEMON TART,12,5 OZ,3.75,9,21.49,0,green,http://yourURL?LOCATION=
A3-199-L-570-3084-48,932253,VEGGIE STICKS PEAS & CARROTS,12,5 OZ,3.75,4.8,23.52,0,green,http://yourURL?LOCATION=
A3-1-L-570-276-0,577064,TORTILLA CHIPS SPECIAL RECIPE,12,12 OZ,9,38.8,18.5,0,green,http://yourURL?LOCATION=
A3-1-L-570-276-60,949800,CUPS DELI SQUARE CLEAR #SD24,500,24 OZ,18,4.8,51.24,0,green,http://yourURL?LOCATION=
A3-1-R-390-276-0,312900,DRINK JUICE RX ENERGY,24,23.5 OZ,41.18,66.2,14.99,3,red,http://yourURL?LOCATION=
A3-202-L-570-3132-0,766184,SYNERGY MYSTIC MANGO,12,16 OZ,14.16,74.6,23.35,0,green,http://yourURL?LOCATION=
A3-202-L-570-3132-48,228234,TUB BLACK TAFFY,12,11 OZ,7.75,0,20.51,0,green,http://yourURL?LOCATION=
A3-202-L-570-3132-84,721070,DRESSING CHIPOTLE RANCH NO CAL,6,12 OZ,8.4,4.1,11.6,0,green,http://yourURL?LOCATION=
A3-202-R-390-3132-0,263900,CHEESECAKE STRAWBERRY DESSERT,6,12 OZ,5,15,12.0475,0,green,http://yourURL?LOCATION=
A3-202-R-390-3132-48,362268,HAM HONEY DELI SHAVED,8,9 OZ,4.5,25.8,12,0,green,http://yourURL?LOCATION=
A3-202-R-390-3132-84,362271,TURKEY HONEY DELI SHAVED,8,9 OZ,4.5,19,12,0,green,http://yourURL?LOCATION=
A3-206-R-390-3192-48,275200,BOLOGNA GARLIC,2,9#,18,176.8,1.79,1,red,http://yourURL?LOCATION=
A3-209-L-570-3252-0,481405,CRANBERRIES DRIED,1,5#,5,23,7.25,0,green,http://yourURL?LOCATION=
A3-209-L-570-3252-48,153721,TURKEY BREAST HONEY MAPLE ABF,2,7.5#,15,6.4,6,0,green,http://yourURL?LOCATION=
A3-209-L-570-3252-84,612525,CHERRY DRIED JUBILEE,12,6 OZ,4.5,3.2,26.15,0,green,http://yourURL?LOCATION=
A3-209-R-390-3252-0,383179,CRANBERRIES DARK CHOC ALL NAT,1,25#,25,12.4,67.5,0,green,http://yourURL?LOCATION=
A3-213-L-570-3312-84,606400,CRACKER SALTINES 2 PK,500,2 PACK,7.9,32.6,13.2,0,green,http://yourURL?LOCATION=
A3-213-R-390-3312-0,599700,CROUTON RANCH,12,5 OZ,5,40,14.04,0,green,http://yourURL?LOCATION=
A3-213-R-390-3312-48,575840,DECORETTES WHITE,1,10#,10,13.4,12.2,0,green,http://yourURL?LOCATION=
A3-213-R-390-3312-84,641782,SALAD KIT FIVE A DAY,1,4.3#,4.3,47,15,0,green,http://yourURL?LOCATION=
A3-216-L-570-3360-0,281665,CHEDDAR RSTD GARLIC AGEDC14430,10,7.6 OZ,4.75,22.4,27.13,0,green,http://yourURL?LOCATION=
A3-216-L-570-3360-72,248900,SALAD ANTIPASTO SALAD,2,4#,8,14.6,2.36,0,green,http://yourURL?LOCATION=
A3-219-L-570-3420-0,768725,COOKIE LEMON SNAPS,12,14 OZ,10.3,23,19.32,0,green,http://yourURL?LOCATION=
A3-219-L-570-3420-48,367490,SACKS HAND DN-BROOKHAVEN MKT,300,1/7-70#,38,16.4,31.31,1,red,http://yourURL?LOCATION=
A3-219-L-570-3420-72,979162,CAKE BOARD GOLD DBLWALL 1665,25,1/2 SHT,10,6.2,23.9,0,green,http://yourURL?LOCATION=
A3-219-R-390-3420-0,782559,TORTILLA CHIP WHITE CHEDDAR,12,7 OZ,6.5,1.3,19.95,0,green,http://yourURL?LOCATION=
A3-219-R-390-3420-48,684282,MACARONI ELBOW,4,5 #,20,0.8,30.2,0,green,http://yourURL?LOCATION=
A3-219-R-390-3420-72,717041,CORN BABY PICKLED,12,8 OZ,11.95,6.3,16,0,green,http://yourURL?LOCATION=
A3-21-L-570-732-0,655331,KETTLE CHIP JALAPENO,10,13 OZ,8.13,2.4,28.2,0,green,http://yourURL?LOCATION=
A3-21-L-570-732-60,283700,HAM CHOPPED,5,10#,50,36.2,1.39,0,green,http://yourURL?LOCATION=
A3-21-R-390-732-0,911470,CORNED BEEF BRISKET FLAT,10,2.5-5#,33,0,3.45,0,green,http://yourURL?LOCATION=
A3-24-L-570-792-0,931245,CARROTS DILL PICKLED,6,32 OZ,12,8.8,31.5,0,green,http://yourURL?LOCATION=
A3-24-L-570-792-60,833230,SHORTENING CREAMY LIQUID,1,35#,37,37.2,17.72,1,red,http://yourURL?LOCATION=
A3-24-R-390-792-0,489174,BREADING SPECIAL SPICE,1,40#,40,109.6,44.33,1,red,http://yourURL?LOCATION=
A3-28-L-570-840-0,124139,SPREAD CHEESE SHIPPER ASST.,64,8 OZ,32,18,121.6,0,green,http://yourURL?LOCATION=
A3-28-L-570-840-60,763937,COLBY JACK DELI HORN - 6 LB*,2,6 LB,12,33.4,1.9131,0,green,http://yourURL?LOCATION=
A3-28-R-390-840-0,888252,CHICKEN WHOLE BROILERS ABF,14,3-3.3C,52,417.8,1.09,5,red,http://yourURL?LOCATION=
A3-33-L-570-900-0,190202,PRETZEL STICK DELI,12,20 OZ,16.4,56,12.56,0,green,http://yourURL?LOCATION=
A3-33-L-570-900-60,659621,PINE NUTS 750 CT,2,27.56#,55.12,9,477.88,0,green,http://yourURL?LOCATION=
A3-33-R-390-900-0,253800,TEA GREEN,24,23.5 OZ,41.18,136.2,14.99,5,red,http://yourURL?LOCATION=
A3-37-L-570-960-0,315800,GLOVES VINYL XLARGE,10,100 CT,16,92.2,16.28,0,green,http://yourURL?LOCATION=
A3-37-L-570-960-60,618600,BOX HOT FOOD-10#BARN EXPRESSN,100,8X6X8,27,36.4,43.8,0,green,http://yourURL?LOCATION=
A3-37-R-390-960-0,270600,TEA RASPBERRY,24,23.5 OZ,41.18,21.6,14.99,0,green,http://yourURL?LOCATION=
A3-3-L-570-336-0,511104,PISTACHIO RAW WHOLE SHELLED,1,30#,30,19.6,163.8001,2,red,http://yourURL?LOCATION=
A3-3-L-570-336-60,659900,OLIVES SPAN BLACK RIPE SLICED,6,#10 CAN,38.4,68,34.22,0,green,http://yourURL?LOCATION=
A3-3-R-390-336-0,862036,TEA ARNOLD PALMER,24,23.5 OZ,41.18,78.4,14.99,0,green,http://yourURL?LOCATION=
A3-41-L-570-1020-0,910196,KOMBUCHA STRAWBRY LEMONADE OG,12,14 OZ,19,82.4,21.5,0,green,http://yourURL?LOCATION=
A3-41-L-570-1020-60,930077,MILK WHITE 1% ASEPTIC SS,12,6.75 OZ,5,36.6,10.92,0,green,http://yourURL?LOCATION=
A3-45-L-570-1068-0,645675,PEANUTS DRY RSTD ORGANIC,1,30#,30,16.2,63,1,red,http://yourURL?LOCATION=
A3-45-L-570-1068-60,307541,OIL VEGETABLE 100% CLEAR SOY,4,GALLON,32,39.4,17.44,0,green,http://yourURL?LOCATION=
A3-4-L-570-384-0,891761,CRISPBREADS PUMPKIN SPICE,12,6.5 OZ,6,3.3,23.52,0,green,http://yourURL?LOCATION=
A3-4-L-570-384-60,721800,TOMATO SAUCE SAPORITO FANCY,6,#10 CAN,45.3,10.8,22.32,0,green,http://yourURL?LOCATION=
A3-4-R-390-384-0,675969,CHICKEN FRESH WHOLE WOG LARGE,10,4.2-4.7,44.95,1074.6,0.8987,31,red,http://yourURL?LOCATION=
A3-50-L-570-1128-0,685081,CHEDDAR MILD FANCY SHREDDED*,6,5#,30,103.2,1.9935,0,green,http://yourURL?LOCATION=
A3-50-L-570-1128-60,574800,BAGS BREAD CLEAR POLY .90 MIL,1000,5X4X16,9.6,24.4,14.37,0,green,http://yourURL?LOCATION=
A3-50-R-390-1128-0,230200,DRINK JUICE KIWI STRAWBERRY,24,23.5 OZ,41.18,19,14.99,0,green,http://yourURL?LOCATION=
A3-54-L-570-1188-0,778530,TEA ICED PEACH OO-LA-LONG OG,12,16 OZ,19.1,68.4,11.16,0,green,http://yourURL?LOCATION=
A3-54-L-570-1188-60,864800,SACKS KRAFT-HARDING FRIENDLY,400,1/6-70#,58,34.2,33.1,0,green,http://yourURL?LOCATION=
A3-58-L-570-1248-0,516289,HAM SWEET CHERRY WOOD SMOKED,2,9-9.5#,19,213.4,3.47,0,green,http://yourURL?LOCATION=
A3-58-L-570-1248-60,430558,TOMATO PUREE FULL RED XHVY,6,#10 CAN,36.66,6.2,23.37,0,green,http://yourURL?LOCATION=
A3-58-R-390-1248-0,410621,TEA DIET GREEN,24,23.5 OZ,41.18,14.4,14.99,2,red,http://yourURL?LOCATION=
A3-62-L-570-1296-0,139197,TRAY PARTY SQ BLK 6CELL W/LID,25,16X16X4,22.25,2.5,58.22,1,red,http://yourURL?LOCATION=
A3-62-L-570-1296-60,572661,PRETZEL YOGURT LEMON,1,15#,15,1,26.75,0,green,http://yourURL?LOCATION=
A3-62-R-390-1296-0,675952,CHICKEN FRESH WHOLE WOG SMALL,12,3.4-3.8,42.75,1778.2,0.8992,25,red,http://yourURL?LOCATION=
A3-62-R-390-1296-60,833118,SHORTENING CORN OIL NH,1,35#,35,2.6,27.69,0,green,http://yourURL?LOCATION=
A3-67-L-570-1356-0,511682,T-SACK-VILLA PARK,1000,12X6X21,17.5,38,14.68,0,green,http://yourURL?LOCATION=
A3-67-L-570-1356-60,262500,CHEESE SPREAD HORSERADISH,12,10 OZ,10,40.4,29.04,0,green,http://yourURL?LOCATION=
A3-67-R-390-1356-60,838368,TOPPING CARAMEL RTU 131 OZ,6,#10 CAN,53.15,5,64.98,0,green,http://yourURL?LOCATION=
A3-6-L-570-444-0,521389,POTATO SALAD AMISH PACKAGED,6,16 OZ,6,71,8.7,1,red,http://yourURL?LOCATION=
A3-6-L-570-444-60,822600,ICING SUPER SET WHITE,1,40#,42,35.8,57.47,0,green,http://yourURL?LOCATION=
A3-6-R-390-444-0,414323,WATER FLAVORED CHERRY,24,12 OZ,21,67.8,10.75,0,green,http://yourURL?LOCATION=
A3-71-L-570-1416-0,582895,TURKEY BREAST HICKORY SMOKED,2,8-10#,16.7,219.6,2.64,0,green,http://yourURL?LOCATION=
A3-71-L-570-1416-60,502341,SOUP CREAM OF CHICKEN,12,50 OZ,37.5,13.6,43.92,2,red,http://yourURL?LOCATION=
A3-71-R-390-1416-60,673500,BOX PIZZA-TOARMINA/PALERMO,50,16X16X2,32,36.6,24.65,0,green,http://yourURL?LOCATION=
A3-75-L-570-1476-0,552329,CREAMER FRENCH VANILLA,12,32 OZ,24,54,33,0,green,http://yourURL?LOCATION=
A3-75-L-570-1476-60,652100,OIL SUNFLOWER/CANOLA FRYING,1,35#,35,19.8,37.6,0,green,http://yourURL?LOCATION=
A3-75-R-390-1476-60,705742,PEANUTS I/S FANCY RAW,1,25#,25,37,19,0,green,http://yourURL?LOCATION=
A3-79-L-570-1524-0,383409,"CONT CAKE 8-9""BLK/CLR ROSEDOME",100,10X3.5,19.4,27,48.4,0,green,http://yourURL?LOCATION=
A3-79-L-570-1524-60,909853,WALNUTS IN SHELL-JUMBO,1,50#,50,8,79.7969,0,green,http://yourURL?LOCATION=
A3-79-R-390-1524-60,858926,POTATOES SLICED WHITE,6,102 OZ,46.5,11.6,21.3555,0,green,http://yourURL?LOCATION=
A3-84-L-570-1584-0,215535,PARMESAN SHREDDED BAG,16,8 OZ,8,71.4,35.7,0,green,http://yourURL?LOCATION=
A3-84-L-570-1584-60,919674,ICING VAN LIGHT N' FLUFFY ZTF,1,35#,35,37,44.66,0,green,http://yourURL?LOCATION=
A3-88-L-570-1644-0,290595,HAM BROWN SUGAR,3,4#,12,79.4,3.41,0,green,http://yourURL?LOCATION=
A3-88-L-570-1644-60,642921,CHEDDAR 75# MAMMOTH*,1,75#,75,1,2.67,0,green,http://yourURL?LOCATION=
A3-88-R-390-1644-60,358440,COTTAGE CHEESE LOWFAT ORGANIC,6,16 OZ,6,37.2,19.56,0,green,http://yourURL?LOCATION=
A3-92-L-570-1704-0,611400,DRESSING SALAD,4,GALLON,33.04,80.4,23.85,0,green,http://yourURL?LOCATION=
A3-92-R-390-1704-0,360858,PORK RINDS PLAIN,12,3.5 OZ,2.62,293.6,11.36,0,green,http://yourURL?LOCATION=
A3-96-L-570-1752-0,357405,POTATO MASHED HOMESTYLE,4,5#,20,110.6,0.8965,0,green,http://yourURL?LOCATION=
A3-96-L-570-1752-60,243800,3 CHEESE ITALIAN SHREDDED CUP,12,5 OZ,3.75,37.4,21,0,green,http://yourURL?LOCATION=
A3-96-R-390-1752-0,597327,WATER PURIFIED DRINKING .5L,24,16.9 OZ,27.6,612,2.5,4,red,http://yourURL?LOCATION=
A3-9-L-570-504-0,881311,DIP FRENCH ONION,12,16 OZ,12,601.6,8.32,0,green,http://yourURL?LOCATION=
A3-9-L-570-504-60,589100,SHORTENING REGULAR PHO,1,50#,50,36.8,34.69,0,green,http://yourURL?LOCATION=
A3-9-R-390-504-0,285300,TEA LEMON,24,23.5 OZ,41.18,13.6,14.99,2,red,http://yourURL?LOCATION=
A4-100-L-798-1800-0,412706,JOLLY RANCHER ASSTD,1,30#,30,15,50.7,0,green,http://yourURL?LOCATION=
A4-100-L-798-1800-60,838693,CORN ON THE COB SHAKER SHIPPER,48,SHIPPER,19,7.3,125.2,0,green,http://yourURL?LOCATION=
A4-103-R-618-1836-0,707642,ATOMIC FIREBALLS,1,30#,30,26,33.9,0,green,http://yourURL?LOCATION=
A4-107-R-618-1896-60,503823,TUB LG DATES WHOLE PITTED,12,13 OZ,10.75,106,24.38,0,green,http://yourURL?LOCATION=
A4-108-L-798-1908-0,530841,TUB SM GUMMI BEARS ASSORTED,12,13 OZ,9.75,66.4,18.69,0,green,http://yourURL?LOCATION=
A4-108-L-798-1908-60,281682,CHEDDAR HORSERADISH AGEDC14430,10,7.6 OZ,4.75,26.4,27.13,0,green,http://yourURL?LOCATION=
A4-10-R-618-540-0,933058,TEA ORIGINAL UNSWEET,6,59 OZ,25.75,97,6.72,0,green,http://yourURL?LOCATION=
A4-10-R-618-540-60,868936,ASIAGO CUP SHREDDED,12,5 OZ,3.75,0,20.2,0,green,http://yourURL?LOCATION=
A4-110-R-618-1944-0,380374,CHEESE PEPPER JACK HALF MOON,20,7-10 OZ,10,3.4,2.81,0,green,http://yourURL?LOCATION=
A4-110-R-618-1944-60,380391,CHEESE MUENSTER C&W,20,7-10 OZ,10,1.8,2.99,0,green,http://yourURL?LOCATION=
A4-112-L-798-1968-0,249323,PEPPERONI SNACK BITES,12,8OZ,6,12,40.08,0,green,http://yourURL?LOCATION=
A4-112-L-798-1968-60,925687,POPCORN DRIZZLE SHIPPER,36,13.1 OZ,41,8.5,73.8,0,green,http://yourURL?LOCATION=
A4-120-R-618-2064-0,143000,SALAD SALSA SALAD,2,5#,10,78.6,2.74,0,green,http://yourURL?LOCATION=
A4-120-R-618-2064-60,359145,YOGURT PLAIN 0 %,6,32 OZ,12,68.6,17.16,0,green,http://yourURL?LOCATION=
A4-121-L-798-2076-0,648582,PINEAPPLE CHUNKS,2,8#,16,20.2,1.935,0,green,http://yourURL?LOCATION=
A4-121-L-798-2076-60,189848,TUB MD MIXED NUTS FANCY N/S,12,10 OZ,7.5,4.8,53.4,0,green,http://yourURL?LOCATION=
A4-124-R-618-2124-0,648633,CANTALOUPE CHUNKS,2,8#,16,13,1.845,0,green,http://yourURL?LOCATION=
A4-124-R-618-2124-60,878033,TUB MD ALMOND SMOKEHOUSE,12,11 OZ,8.25,12.2,37.51,0,green,http://yourURL?LOCATION=
A4-129-L-798-2196-0,373503,TUB LG ALMOND NATURAL SLICED,12,10 OZ,8.5,41.8,31.32,0,green,http://yourURL?LOCATION=
A4-129-L-798-2196-60,409900,MILK EVAPORATED,6,#10,47,10.2,47.25,0,green,http://yourURL?LOCATION=
A4-132-R-618-2232-0,414646,SAUSAGE CHICKEN SPINACH/GARLIC,8,12 OZ,6,12,27.2,0,green,http://yourURL?LOCATION=
A4-132-R-618-2232-60,414663,SAUSAGE CHICKEN SUN DRIED TOM,8,12 OZ,6,6.4,27.2,0,green,http://yourURL?LOCATION=
A4-134-L-798-2256-0,152521,MOZZARELLA FRESH PEARLS CUP,6,8 OZ,7,31,13.26,0,green,http://yourURL?LOCATION=
A4-134-L-798-2256-60,807903,HAM BLACK FOREST SLICED ABF,12,7 OZ,5.25,32.4,38.16,0,green,http://yourURL?LOCATION=
A4-137-R-618-2292-0,359151,YOGURT FRENCH VANILLA LOW FAT,6,32 OZ,12,68.6,17.16,0,green,http://yourURL?LOCATION=
A4-137-R-618-2292-60,292686,DRESSING CAESAR LT,6,12 OZ,5.4,5.2,15.96,0,green,http://yourURL?LOCATION=
A4-138-L-798-2304-0,194400,CHEESE BALL PORT WINE,12,10 OZ.,8.5,14.8,29.4,0,green,http://yourURL?LOCATION=
A4-138-L-798-2304-60,980841,MOZZARELLA APPLE SMOKED BAR,14,8 OZ,7,11.8,35.7,0,green,http://yourURL?LOCATION=
A4-142-R-618-2352-0,292720,DRESSING RANCH LT,6,12 OZ,5.4,6.2,15.96,0,green,http://yourURL?LOCATION=
A4-142-R-618-2352-60,248200,POTATO SALAD WITH EGG,2,10#,20,675.2,1.265,0,green,http://yourURL?LOCATION=
A4-143-L-798-2364-0,766219,DRINK EXPOSED ALOE & HONEY,12,16.9 OZ,12.68,29.2,13.5,0,green,http://yourURL?LOCATION=
A4-143-L-798-2364-60,357442,TUB SM DRIED CHERRIES,12,8 OZ,7.7,14.6,39.41,0,green,http://yourURL?LOCATION=
A4-146-R-618-2400-0,554100,CRACKER BROWN RICE THINS,12,3.5 OZ,5.2,30.4,20.88,0,green,http://yourURL?LOCATION=
A4-146-R-618-2400-60,816304,DRESSING AVOCADO VINAIGRETTE,8,32 OZ,16,7,48.85,0,green,http://yourURL?LOCATION=
A4-148-L-798-2424-0,455864,PANETINI GARLIC PARMESAN,12,4.75 OZ,4.7,4,20.72,0,green,http://yourURL?LOCATION=
A4-14-L-798-600-0,782831,WRAP ROASTED RED PEPPER,12,14 OZ,11.7,4.8,20.13,0,green,http://yourURL?LOCATION=
A4-14-L-798-600-60,553500,SOUP BEEF VEGETABLE,2,8#,16,26.2,2.24,0,green,http://yourURL?LOCATION=
A4-153-L-798-2484-60,179784,CARAMEL CORN W/PEANUTS,12,9 OZ,6.75,96.8,18.86,0,green,http://yourURL?LOCATION=
A4-156-R-618-2520-0,838130,PASTA SAUCE MARINARA FULL RED,6,#10 CAN,46,7.8,25.07,0,green,http://yourURL?LOCATION=
A4-156-R-618-2520-60,692544,DRESSING BLUEBERRY POPPY,6,12 OZ,4.5,13.6,17.85,0,green,http://yourURL?LOCATION=
A4-157-L-798-2532-0,398207,PARFAIT ORANGE,2,2.75#,5.5,26.6,4.48,0,green,http://yourURL?LOCATION=
A4-157-L-798-2532-60,432972,FRUIT CUP POMEGRANATE-ORANGE,12,6 OZ,5.62,2.3,10.56,0,green,http://yourURL?LOCATION=
A4-161-R-618-2580-0,695111,GRUYERE AOC,8,7 OZ,3.7,3.6,36.12,0,green,http://yourURL?LOCATION=
A4-161-R-618-2580-60,374703,TUB LG DRIED CRANBERRIES,12,13 OZ,10.75,69.4,20.27,0,green,http://yourURL?LOCATION=
A4-162-L-798-2592-0,930650,WATER LEMON ROSE,12,16 OZ,20,11.6,13.5,0,green,http://yourURL?LOCATION=
A4-162-L-798-2592-60,808297,PIZZA SAUCE ORIGINAL,12,16 OZ,20.7,13.9,24.98,0,green,http://yourURL?LOCATION=
A4-165-R-618-2628-0,775538,*EZ* OG CRANB POMGRNT,6,32 OZ,38.4,11.3,16.115,0,green,http://yourURL?LOCATION=
A4-167-L-798-2652-0,601577,BEANS GREEN XTRA STD MIXD SVE,6,#10 CAN,39,21.2,19.25,0,green,http://yourURL?LOCATION=
A4-167-L-798-2652-60,670700,SACKS BROWN KRAFT,400,1/6-75#,56,72,32.41,1,red,http://yourURL?LOCATION=
A4-170-R-618-2688-0,245100,DESSERT TAPIOCA PUDDING,2,5#,10,46.6,1.71,0,green,http://yourURL?LOCATION=
A4-170-R-618-2688-60,900495,JUICE LEMON,24,6 OZ,9,19.2,11.69,0,green,http://yourURL?LOCATION=
A4-172-L-798-2712-0,900506,JUICE LIME,24,6 OZ,9,12.8,11.69,0,green,http://yourURL?LOCATION=
A4-172-L-798-2712-60,736659,BREAD CRUMBS PANKO,12,12 OZ,10.35,9.5,19.75,0,green,http://yourURL?LOCATION=
A4-17-L-798-660-0,913976,SOUP SMOKEY POBLANO CHEESE,2,8#,16,14.6,2.48,0,green,http://yourURL?LOCATION=
A4-17-L-798-660-60,783001,WRAP FLOUR TORTILLA,12,22 OZ,18.25,12.8,20.91,0,green,http://yourURL?LOCATION=
A4-195-L-798-3024-0,373703,TUB LG ALMOND ROASTED N/SLT,12,15 OZ.,12.25,26.8,46.49,0,green,http://yourURL?LOCATION=
A4-195-L-798-3024-36,836758,PICKLES SPEARS KOSHER,1,5 GAL,46,0.4,24.73,0,green,http://yourURL?LOCATION=
A4-195-L-798-3024-72,481847,PEANUTS HONEY ROASTED,1,5#,5,8.4,7.5,0,green,http://yourURL?LOCATION=
A4-195-R-618-3024-0,481881,PECAN HALVES FANCY JR M. RAW,1,10#,10,8,69.5711,0,green,http://yourURL?LOCATION=
A4-195-R-618-3024-36,383621,STICKS PEPPERONI,12,16 OZ,12,14.2,44.78,0,green,http://yourURL?LOCATION=
A4-195-R-618-3024-72,580403,PROSCIUTTO DI PARMA ITALY,1,15#,15.5,3.6,8.23,0,green,http://yourURL?LOCATION=
A4-199-L-798-3084-0,359073,KEFIR DRINK FF PLAIN,6,32 OZ,12,70.2,13.4,0,green,http://yourURL?LOCATION=
A4-199-R-618-3084-72,248000,MACARONI SALAD,2,10#,20,274.2,1.375,1,red,http://yourURL?LOCATION=
A4-19-R-618-696-0,754641,CREAM CHS DF HERB & CHIVE,12,8 OZ,6,5.8,25.2,0,green,http://yourURL?LOCATION=
A4-19-R-618-696-60,754753,CHEESE SLICES JALAP FLAVOR,12,10.6 OZ,7.95,9,7.94,0,green,http://yourURL?LOCATION=
A4-1-L-798-276-0,391703,TUB LG CASHEW 240 JUMBO R/SALT,12,14 OZ,11.5,14,75.68,0,green,http://yourURL?LOCATION=
A4-1-L-798-276-60,621195,TUB MD CANDY BLOX BUILD & EAT,12,12 OZ,9,13.6,30.8,0,green,http://yourURL?LOCATION=
A4-1-R-618-276-0,391903,TUB LG BUTTER TOASTED PEANUTS,12,12 OZ.,10,16.4,21.06,0,green,http://yourURL?LOCATION=
A4-1-R-618-276-60,720305,GRAVY MIX COUNTRY,24,2.75 OZ,4.9,14.1,12.88,0,green,http://yourURL?LOCATION=
A4-202-L-798-3132-0,601645,BEANS GREEN CUT 4 SV,6,#10 CAN,39,89.4,19.5,0,green,http://yourURL?LOCATION=
A4-202-L-798-3132-36,909888,COFFEE COLD BREW MOCHA,12,12 OZ,9,3.2,21.6,0,green,http://yourURL?LOCATION=
A4-202-L-798-3132-72,746077,FLOUR ALMOND MEAL GF,4,16 OZ,4.45,45.8,28.57,0,green,http://yourURL?LOCATION=
A4-202-R-618-3132-0,909909,CREAMER ITAL SWEET CREAM ND,6,32 OZ,12,19.4,11.7,0,green,http://yourURL?LOCATION=
A4-202-R-618-3132-36,418420,GRANOLA SUNNY & HONEY 6/12 OZ,6,12 OZ,4.5,19.4,15.9,0,green,http://yourURL?LOCATION=
A4-206-R-618-3192-0,765125,PIZZA SAUCE W/BASIL 107 OZ,6,#10 CAN,40.13,16.6,27.12,0,green,http://yourURL?LOCATION=
A4-206-R-618-3192-36,828813,COLBY MINI HORN*,2,6#,12.06,73,2.1475,0,green,http://yourURL?LOCATION=
A4-206-R-618-3192-72,207900,BRAUNSCHWEIGER SMKD LIVER N/C,2,4#,8,8.2,2.79,0,green,http://yourURL?LOCATION=
A4-209-L-798-3252-0,896304,CHEESE BALL CHED BUFFALO WING,12,10 OZ,7.5,2.4,29.98,0,green,http://yourURL?LOCATION=
A4-209-L-798-3252-36,929593,HAM HOT DICED,10,16 OZ,10,3.6,2.47,0,green,http://yourURL?LOCATION=
A4-20-L-798-708-0,427107,SALAD QUINOA AND BEET,4,3.3#,13.2,5.6,3.27,0,green,http://yourURL?LOCATION=
A4-20-L-798-708-60,984200,DIP SPINACH,1,15#,15,7.2,2.77,0,green,http://yourURL?LOCATION=
A4-213-L-798-3312-72,541619,TORTILLA CHIP SRIRACHA SPICY,12,5.5 OZ,4.125,9.8,22.03,1,red,http://yourURL?LOCATION=
A4-213-R-618-3312-0,722200,PIZZA SAUCE SUPER HVY W BASIL,6,#10 CAN,45.9,10.6,19.68,0,green,http://yourURL?LOCATION=
A4-213-R-618-3312-36,189508,TUB MD WALNUT PIECES,12,9 OZ,6.75,14,21.98,0,green,http://yourURL?LOCATION=
A4-213-R-618-3312-72,779346,PASTA PAPPARDELLE EGG,6,12 OZ,5.5,12.1,11.63,0,green,http://yourURL?LOCATION=
A4-216-L-798-3360-0,255123,TURKEY BREAST CARVING,2,4#,8,7.2,5.34,0,green,http://yourURL?LOCATION=
